seed,method,success_count,eval_count,final_val_success,probe_extra_tokens,rollout_token_overhead,valid_probes,probe_attempts,high_impact_per_1k_probe_tokens,gpu_hours
17,grpo,31,128,0.2421875,0,0.000,0,0,,0.255
17,linear_ucb_b2,40,128,0.3125,7814,0.519,376,400,10.878,0.283
17,random_b2,35,128,0.2734375,7211,0.481,373,400,12.620,0.279
17,surprisal_b2,35,128,0.2734375,8602,0.576,376,400,9.649,0.287
42,grpo,28,128,0.21875,0,0.000,0,0,,0.220
42,linear_ucb_b2,38,128,0.296875,7680,0.520,378,400,12.240,0.283
42,random_b2,44,128,0.34375,7646,0.518,382,400,13.079,0.276
42,surprisal_b2,43,128,0.3359375,8406,0.564,380,400,12.491,0.281
101,grpo,33,128,0.2578125,0,0.000,0,0,,0.218
101,linear_ucb_b2,41,128,0.3203125,8014,0.511,384,400,10.856,0.287
101,random_b2,33,128,0.2578125,8517,0.537,385,400,10.097,0.286
101,surprisal_b2,42,128,0.328125,8919,0.578,386,400,9.194,0.290
